title,relevant_sentence,label
Bietschhorn-Überschreitung,"Nach dem Ende dieser Schnee-Rinne stoßen wir zunächst auf viel loses Blockwerk nach einiger Zeit auf einen schmalen Bergpfad, welcher stellenweise von Pflanzen und Büschen überwachsen ist und hinunter nach Blatten führt. | T4 | S | IV",neutral
Rien à pleurer...,"Beim ausgesetzten und kaum Halt bietenden Einstiegsband war ich froh um die Bohrhaken, nach der gutgriffigen 2. SL, die auch schon ungesichert gut zu machen gewesen wäre, packte ich die Reepschnur aber wieder ein, indem die 3. SL und der Ausstieg sicher seilfrei zu bewältigen waren. | T3 | WS+ | II",negativ
Rien à pleurer...,"Steinmännern folgend schlängelte ich mich mit mulmigem Gefühl durch die brüchige und rutschige Flanke hinunter, bevor ich fast zuunterst doch noch die Reepschnur auspackte, um wenigstens halbwegs gesichert über eine ausgesetzte Stufe abklettern zu können. | T3 | WS+ | II",negativ
Blinnenhorn,Auf italienischer Seite sind im steileren Gelände Ketten vorhanden und in ein Schneefeld wurde ein Weg geschaufelt. | L,positiv
Le Génépi (Hauptgipfel),"Der Kamin mit dem Klemmblock (R.204b) ist offensichtlich, scheint mir aber etwas zu schwierig für solo und mit Trekkingschuhen – das wäre eine schöne Touristenattraktion, wenn ich da in den «Seich» geraten würde. | T6 | II",negativ
Le Génépi (Hauptgipfel),"An der Kante rechts davon geht es etwas einfacher, aber sehr luftig und akrobatisch. | T6 | II",negativ
Le Génépi (Hauptgipfel),"Der Weg ist oft schmal, und ich nutze jede Gelegenheit zum Überholen. | T6 | II",negativ
"Bisse d'Ayent, eine der schönsten Suonen im Wallis...",Die Passage Les Folles ist nur für Schwindelfreie - es sind zur Sicherheit noch zusätzliche Seile fixiert. | T3,negativ
"Pigne d'Arolla, Überschreitung West nach Ost","Hier könnte ich mir gut vorstellen, dass es bei Blankeis schwierig werden könnte. | WS",neutral
Les Diablons 3609m und Pointe d'Arpitettaz 3133m,Den schwierigsten Stellen kann man immer wieder ostseitig ausweichen. | T5 | II,positiv
Spali das Horn,eine erste Seillänge lässt sich umgehen indem man im Spalt 5 m aufsteigt um dann 5 m nach rechts hinauszuqueren zu einem Stand. | T3 | V | L,positiv
Spali das Horn,die erste Seillänge ist fast die happigste. | T3 | V | L,neutral
Spali das Horn,mit 2-3 m Abständen der Bohrhaken ist diese Route sehr gut abgesichert.auf der Nordseite könnte man bequem abseilen. | T3 | V | L,positiv
das spitze Hörnli = Spitzhörnli,"für ein angebliches ""leicht"" sind die Kletterpassage doch etwas anspruchsvoll. | T3 | WS+ | III | L",negativ
"Extrem-Suonenwandern: Manera- (Oberlauf), Kummera-, Thel-Brägjeri-, Tatz-Giesch-Suone","Stahlseile hat es nur an ganz wenigen Stellen, womit wir meist komplett ungesichert unterwegs sind. | T5+ | I",negativ
"Extrem-Suonenwandern: Manera- (Oberlauf), Kummera-, Thel-Brägjeri-, Tatz-Giesch-Suone","Kurz nachdem wir die Eisenbahnbrücke unterquert haben, fällt uns aber linkerhand ein mit Seilen gesicherter Pfad auf, der steil aber nicht allzu schwierig wieder nach unten führt. | T5+ | I",positiv
"Extrem-Suonenwandern: Manera- (Oberlauf), Kummera-, Thel-Brägjeri-, Tatz-Giesch-Suone",Etwas luftiger als zuvor | T5+ | I,negativ
