title,relevant_sentence,label
Pizzo del Prévat SE-Grat,"Der Weg zur Capanna Campo Tencia ist zeitlich nicht zu unterschätzen, der Weg überrascht mit einigen Auf- und Abs, ca. 2 h.Material: 50 m Seil, 4 Expressen, Bergschuhe | III",neutral
"Burgerrain, Bräntlirain & Schwängiflüeli",Zurück am Tageslicht radelte ich auf direktem Weg zurück zum Parkplatz. | T5 | II | K2 | L,neutral
Piz Starlera 2735m und Piz Grisch 3060m,Dort würde der Weg die Rinne queren und ich stand am Einstieg der Wand Paré Granda durch die sich der alte Bergwerkweg bis auf 2505m durchschlängelt. | T5 | WS- | I,neutral
"auf dem Calanda, 2805m, äs früsches CALANDA....","wir folgten einfach den Wanderschilder via Wolfegg - SAC Hütte und machten einen kurzen Kaffeehalt, da zZ die Sicht noch ""neblig"" war. | T3+",neutral
Schuttorgie am Täligrat (3042 m) im Avers,Zum Weiterkommen muss man ca. 15 Meter in einer Scharte runterklettern (T4). | T4+,neutral
Kreuzberg III - Breites Südrippli,Abstieg (T5 II): | III,neutral
Gletschertrekking Monte Rosa Hütte,"Hier befestigten wir unsere Steigeisen und bildeten zwei Gruppen: Dominik, Fabienne und Francesco traversierten den Gornergletscher ohne Seil, da der Gletscher nicht eingeschneit und die Spalten sehr gut sichtbar waren. | T4 | L",neutral
Nel cuore del Ticino...,"Schliesslich war ich dann um 6 Uhr doch startbereit, und nachdem ich einen Dankeszettel mit meiner Adresse und etwas Geld auch für die geleerte Gaskartusche auf den Tisch gelegt hatte, schloss ich die Türe und machte mich auf den Weg. | T6 | WS+ | III",neutral
"Piz Forbesch 3261,8m","Ich schaute mich kurz um wir ich am einfachsten herunter klettern kann, am besten geht die nahe dem höchsten Gratpunkt in eine kleine Rinne hinein um danach nahezu waagrecht hinüber in die Scharte zu queren. | T5+ | WS | II",neutral
Schinhorn 3796 m - Westnordwestgrat,"Diese Option kam für uns nicht mehr in Frage, da wir unsere Eisausrüstung am Einstieg deponiert hatten. | S- | IV",neutral
Schildflue 2887 m,"Mit dem Älpeltispitz als Westende und dem Leidhorn am Ostende, dazwischen die Schildflue und die unter Klettern bekannten Fergenhörner. | T4",neutral
Von Zerfreila zum Guraletschsee,Abstieg entlang des Seetobels T4. .Bedingungen:Weitgehend trocken. | T2,neutral
Ausser Rand und Band? Bifertenstock- und Bänderweg-Schnüffeln,"In den Querungen ist das Weglein sichtbar, zuerst nach links, dann zurück nach rechts in die Mulde von Faschas, wo rechts die gut sichtbare Spur nach Zanin wegzieht. | T5-",neutral
Ab der Läntahüttte zum Piz Cassimoi und Pizzo Cassinelli,"Susanne musste ihren ganzen Mut zusammennehmen und war dann erleichtert, dass der Aufstieg dann doch nicht so schwierig war, wie sie es vermutet hatte. | T5+ | II",neutral
Chli Furkahorn,"Als grosser Fan vonmoderat schwierigen, weglosen Steinhaufenhatte ich das Klein Furkahorn schon immer (also seit ca. 10 Jahren) auf meiner Bucketlist; | T4",neutral
Gipfelrunde oberhalb der Bordierhütte,Anschließend ging es problemlos weiter zum Balfrin Nordgipfel und auf guten Steigspuren erreichten wir ohne Gletscherkontakt die Senke Richtung Gross Bigerhorn. | ZS | III,neutral
Tellispitza (Hauptgipfel),Auf etwa 2400 m verliert sich der Weg. | T6,neutral
Schildflue 2887 m,Abstieg auf dem gleichen Weg. | T4,neutral
Torrenthorn und Schafberg (bei Albinen),"Bis hierhin hatten wir die ein oder anderen Wanderer getroffen, nicht wirklich überraschend bei der Seilbahnnähe. | T4 | K2-",neutral
Schinhorn 3796 m - Westnordwestgrat,"Der nächste Aufschwung ist eher ein breiter Hang, besteht nur aus losem Zeug und wird oben sehr steil. | S- | IV",neutral
Piz Vadret 3199 m / Piz da las Sterlas 3176 m,Die Besteigung des Piz Vadret auf der Route 377 ist geprägt von steilen Schutthalden und einem Grat mit viel losem Material. | T4,neutral
Über den Jägersteig zum Marwees Ostgipfel (1991 m) und zum Alp Sigel Südgipfel (1769 m),"Die Schwierigkeiten der Tour:Auf dem Jägersteig, (T4) und von der Bogartenlücke zum Marwees Ostgipfel hinauf auch (T4) vor allem die die Rinne, direkt nach der Bogartenlücke, war im oberen Teil nass uns ausgewaschen, - vor allem beim Abstieg recht heikel. | T4",neutral
Fiescheralp - Konkordiahütte SAC - Fiescheralp (2 Tagestour),"Die Gletscherbeghung ansich stellt keine große Schwierigkeiten da, lediglich die Wegfindung kann sich schwierig gestalten, da es keine Makierungen gibt (Schwierigkeit L). | T4- | L",neutral
"Rotgrätli, 3.012m, und Wissgrätli, 2.865m",Mit kleineren Varianten stieg ich auf gleichem Weg wieder ab und ging noch auf das Wissgrätli. | T3+,neutral
"Ober Gabelhorn  - (kompletter Gabelhorngrat, Abstieg Wellenkuppe)",Der Weg direkt zum Hotel Edelweiss oder weiter zum Trift ist immer noch gesperrt seit den Unwettern und wird wohl erst nächste Saison offen sein. | ZS+,neutral
Piz Segnas: Südwestflanke von Nagens aus,"Obwohl man eigentlichnirgends kletternmuss, empfinde ich den Aufstieg gar nicht mal als soooo einfach, weil man wirklich sauber und konzentriert steigen muss. | T4+",neutral
Zum Guli und einigen Hüenern im Weisstannental,"Von der Lauifurggla überquerte ich den Hüendri (früher Hühneri), auf der Schweizer Landeskarte nun als Fulegg bezeichnet, auf direktem Weg von Osten nach Westen (Aufstieg T4+ bis T5 im nassen Gras, Abstieg T4). | T5",neutral
Chli Furkahorn,"Ab da geht es dann deutlich steiler über Blöcke und die ein oder andere Rinne (hübsch ist z.B. die Grasrinne ""linksrum"" vor P. 2743) aufwärts. | T4",neutral
Von der Belalp zur Bettmeralp,"Diese ist doch ziemlich spektakulär und luftig, obwohl man von der Gletscherzunge des Grossen Aletschgletschers leider fast nichts mehr sieht. | T3",neutral
Alperschällihorn und Pizzas d‘Anarosa,Der Couloirausstieg ist dann aber von der brüchigsten Sorte. | T6,neutral
"Roteflue, Bramegg, Staldighöhe","Im steilen Tobel kraxelte ich hinunter und erblickte somit einen Wasserfall, welcher von der Grösse her durchaus auf der Wanderkarte hätte eingezeichnet werden dürfen. | T2 | L",neutral
Dufourspitze (4634 m),"Dahinter folgt ein waagrechter Felsgrat zu P.4498, die Felsen sind dankbar horizontal geschichtet und somit auch gut mit Steigeisen zu klettern (kein Vergleich zur Barre des Ércins!). | ZS- | II",neutral
St. Antönien - Klosters (Madrisahorn),Rätschenjoch - Sant Jaggem - Schaffürggli (T4)Den Rucksack wieder geschultert überqueren wir den Sant Jaggemgrat bis zum Sant Jaggem. | T5 | II,neutral
Mürtschenstock Fulen,BigaasundMittelchopfzur Kraxelei auf denFulen 2410 | T5 | II | L,neutral
Piz Tumpiv 3101 müM,Der Gletscher ist noch gut eingeschneit und erleichtert den Aufstieg zu Beginn mit einer angenehmen Steigung. | T5- | WS | II,neutral
Piz Vadret 3199 m / Piz da las Sterlas 3176 m,"mVon der Fuorcla weglos weiter, den Steinmännern folgend über den Gratbuckel, die Traverse direkt wäre etwas abschüssig, den Wegspuren und Steinmänner folgend bis in die Mulde auf ca. 3000 m. | T4",neutral
Gipfelrunde oberhalb der Bordierhütte,"Zusammen mit weiteren Seilschaften stiegen wir zum Gletscher ab, querten diesen und folgten dann den Reflektoren, Steinmännchen und Steigspuren Richtung Galenjoch. | ZS | III",neutral
Auf Naefs (Ab)wegen zum Unghür,Auf dem Weg zum Hinteren Plattenhorn am Vortag sind mir die Unghürhörner aufgefallen. | T6 | II,neutral
Gletschersuchen am Pizol,"Oben ist das steil, geht aber unten bald besser. | T4",neutral
Schinhorn 3796 m - Westnordwestgrat,Der Originalzustieg zum Gletscher startet an der Anenhütte. | S- | IV,neutral
Piz Segnas: Südwestflanke von Nagens aus,"Sobald es steiler wird, bilden sichzwei parallele Rinnenheraus. | T4+",neutral
"Gletscherhorn, 3106 m",Über den Rücken weiter zum Gipfel desGletscherhorn. | T4- | L,neutral
Schinhorn 3796 m - Westnordwestgrat,Vom Vorsprung aus geht es dann über grasdurchsetztes Felsgelände nochmal steil hinauf. | S- | IV,neutral
Sir Elias oder ein Date mit einem adligen,Nun einfach auf Wegspuren hinunter in die Schwemmebene und zurück zur Hütte. | T4 | 5a,neutral
Titlis,Nach dem Besuch der Gletschergrotte und der Überschreitung des Cliff Walk hab ich den Rummel da oben verlassen und bin zuerst durch den Schnee-Sumpf in die Scharte vor dem Gross Titlis abgestiegen. | T3+,neutral
Madrisahorn (2826 m) durch die Nordflanke,Für den weiteren Weg ging ich ziemlich direkt den Hang hinunter Richtung Chüacalanda (siehe Track). | T5 | I | L,neutral
Dufourspitze (4634 m),"Man kann ihn schneefrei getrost ohne Seil begehen, Steigeisen fand ich aber hilfreich. | ZS- | II",neutral
"Pizol, 2844 m","Abstieg wie Aufstieg, wobei ich im Abstieg denTwärchammauf der Südseite querte (nur bei trockenen Bedingungen sinnvoll, da die alten Wegspuren durch starke Regenfälle abgerutscht sind). | T4-",neutral
Mürtschenstock Ruchen,"Von dieser geht es über einen Grasgrat weiter, stellen sich die ersten Felsen in den Weg, wird nach rechts (Ostflanke) ausgewichen. | T6- | II",neutral
Nel cuore del Ticino...,"Spätestens ab der Alpe d'Arena wurde der Weg jedoch besser, und zuletzt reichte es in Camblee sogar noch für das frühere Postauto. | T6 | WS+ | III",neutral
Chli Furkahorn,"Für Leute, die viel in der Gegend unternehmen, ist es ein ""kurzer Abstecher"" auf dem Weg, für mich ist der Furkapass mental sehr weit weg von Zürich (obwohl das objektiv überhaupt nicht hinhaut; | T4",neutral
Zum Guli und einigen Hüenern im Weisstannental,Ab den beiden Hüttli auf dem Maad 2158m gings steil hinunter zur Alp Ober- und Unter Galans. | T5,neutral
Gletschersuchen am Pizol,"Nun auf einem schmalen, aber deutlichen Pfad die Höhe haltend auf den Hauptweg. | T4",neutral
"Piz Bernina (4048 m), Biancograt",Und ein etwas ist klar: der Biancograt ist wirklich einmalig und der Weg der Wege auf den höchsten Gipfel der Ostalpen. | ZS | III,neutral
"Val d'Anniviers August 2024, 3|3: Le Tsapé - Illhorn","die Messstation wird eingerichtet sein, um allfällige Abbruchtendenzen frühzeitig erkennen zu können …Wir verweilen hier länger, auch im Gespräch mit einem jungen Paar, welches beabsichtigt, die Gipfel ringsum nach und nach zu besteigen. | T3+",neutral
Vom Hotel Belvédère auf's Chli Furkahorn (3026 m),Heute war das (geschlossene) Hotel Belvédère mit dem Eisgrotten-Touristenrummel mein Ausgangspunkt. | T4,neutral
Ammertespitz (2613m),"Schnell und steil geht's runter in die eindrucksvolle Ebene der Engstligenalp, wo sich wieder viele Touris tummeln. | T4",neutral
Fiescheralp - Konkordiahütte SAC - Fiescheralp (2 Tagestour),Immer am Fels entlang geht es in schmalen kleinen Kurven nach oben. | T4- | L,neutral
Madrisahorn (2826 m) durch die Nordflanke,"Im Abstieg habe ich von losem Schutt profitiert und kam so recht schnell auf eine Höhe hinab, auf welcher ich vergleichsweise einfach zum Schneetälli traversieren und dann zum Sattel östlich von P. 2721 aufsteigen konnte. | T5 | I | L",neutral
Schafbergkante und -chöpf,Heisser Aufstieg gegen den Schafberg und vom Wegweiser in den eindrücklichen Kessel hinein. | T6 | S | 5b,neutral
Schibenspitz (2060 m) - Schnuppertour um den Gantrisch,"Auf der Südseite schließen sich mehrere Wege an, ich steige knapp 100 hm bergab und folge dann Markierungen hinauf auf den langen Grat, der einen großen Kessel umschließt und sich ein gutes Stück weiter über Gantrisch, Nünenenflüe etc. zieht. | T2",neutral
"Pizol, 2844 m","Hinein gegen den alten Gletscher, von welchem nur noch unter Schutt etwas Eis hervorschaut. | T4-",neutral
St. Antönien - Klosters (Madrisahorn),"Madrisahorn (T5, II) | T5 | II",neutral
Überschreitung Ober Gabelhorn und Zinalrothorn,Nun auf dem Gletscher einfach auf die Wellenkuppe. | T5 | S | V,neutral
Signina - Piz Fess und Co.,"Der Weiterweg zum Tällistock sieht etwas unübersichtlich aus, mit ganz kleinen Abweichungen kann ich aber alles mit der nötigen Vorsicht dem brüchigen Grat folgen. | T6 | III",neutral
"Ober Gabelhorn  - (kompletter Gabelhorngrat, Abstieg Wellenkuppe)",Wirklich beachtlich steil für einen Lauf! | ZS+,neutral
Kreuzberg III - Breites Südrippli,Man gewinnt so die Scharte zwischen KB IV und KB III und steigt auf einem steilen Schotterweg etwas ab an den Fuss des Breiten Südripplis. | III,neutral
"Barrhorn ab Turtmann & zurück - ""Ultimative Wanderung reloaded""","Bei den letzten, steilen Etappen des immernoch guten Weges merkt man definitiv, dass die Luft dünner wird. | T3+",neutral
Tschinglenrunde mit Abkürzung Il Vonn,"Kurze Zeit Später stand ich an der Wegverzweigung, wo man einerseits nach Niederen oder zum Mittaghorn aufsteigen kann, des Weiteren fand ich hier einen nicht in der Karte eingetragenen Unterstand mit Bänkli. | T4",neutral
Gletschersuchen am Pizol,"Vom Pizolsattel wage ich mich direkt in die Geröllhalde rein, die bis vor wenigen Jahren noch Gletscher war. | T4",neutral
Über den Jägersteig zum Marwees Ostgipfel (1991 m) und zum Alp Sigel Südgipfel (1769 m),"Vom Gipfelkreuz war ich vollkommen enttäuscht, das vor drei Jahren fotografierte, so schöne Gipfelkreuz, war schon total verlottert und hing nur noch lose an einem Seil, schade! | T4",neutral
"Rotgrätli, 3.012m, und Wissgrätli, 2.865m",Zunächst folgt man dem markierten Weg zum Guraletschsee. | T3+,neutral
"Val d'Anniviers August 2024, 2|3: Le Toûno",danach machen wir uns auf den Abstieg - die Gipfelflanke konzentriert geniessend (noch ein Edelweiss-Duo entdeckend) und unschwierig wieder nachTsa du Toûnozurückkehrend. | T2,neutral
Überschreitung Ober Gabelhorn und Zinalrothorn,"Wegen des mühsamen und gefährlichen Gerölls versuchen wir links von der Rinne, wo es kaum loses Gestein hat, hochzuzklettern. | T5 | S | V",neutral
Gipfelrunde oberhalb der Bordierhütte,Ohne die 12er oder 14er Zacken ist mann im Felsteil einfach schneller und bequemer unterwegs und die Montage geht ja absolut schnell. | ZS | III,neutral
Schildflue 2887 m,"Links abbiegen bis zum Punkt 1443 m, dann wechselt der Weg von Naturstrasse auf Bergwanderweg. | T4",neutral
"Piz Forbesch 3261,8m",Auf 3000m drehte ich wieder in Richtung Norden bis unter Gratfelsen und erreichte so ziemlich einfach den Grat. | T5+ | WS | II,neutral
Kreuzberg III - Breites Südrippli,"Zu-/Abstieg im Verhältnis etwas lang, bei frühem Beginn können aber noch gut weitere (schwierigere Routen) am KB III geklettert werden oder alternativ im Miniklettergarten an der Saxerlücke. | III",neutral
"Il Nes (2950 m), Corn Chamuotsch (3016 m) & Corn Suvretta (3071 m).","Es führt keinen markierten Wanderweg ins Valletta dal Güglia, aber man findet eine gute Wegspur, mindestens bis auf 2550 m ü. M. | T4+",neutral
Schildflue 2887 m,"Durch den Riss kletternd, oben mit Steinmann auf den Gipfelkamm über ein paar Blockfelsen zum Gipfelsteinmann2 ¼ Std. T4 (Riss T5 II) | T4",neutral
Nel cuore del Ticino...,"Ich querte über die Weide - Gusti und Kühe waren noch am Schlafen oder Wiederkäuen - und über die beiden, von besagten Unwettern mit umgerissenen Bäumen und Geschiebe verlegten Zuflüssen des Ri del Piatto zum auf der Karte teilweise noch eingezeichneten Pfad, der mich erstaunlich bequem durch lichten Lärchenwald und zwischen Felsbänken hindurch zu den Ruinen 1835 und zuletzt wieder über Weiden zu den beiden verlassenen Hütten von Fracce 1977 führte. | T6 | WS+ | III",neutral
"Überschreitung Piz d'Arbeola ↑ E ↓ SSW, + Piz Pian Grand","je näher die Bocca de Rogna kommt, desto steiler wird es. | T6 | II",neutral
Tschinglenrunde mit Abkürzung Il Vonn,"Der Weg dorthin ist zu anfangs relativ flach und führt noch durch Grasmatten, bevor es wieder schiefrig wird. | T4",neutral
"Ober Gabelhorn  - (kompletter Gabelhorngrat, Abstieg Wellenkuppe)",Die kurze Kraxeleinlage auf den Tisch ist irgendwie gespenstig im Dunkeln. | ZS+,neutral
Überschreitung Ober Gabelhorn und Zinalrothorn,Hier versorgen wir die Gletscherausrüstung im Rucksack und folgen den Steinmännchen und später dem Trampelpfad bis zur SAC Hütte. | T5 | S | V,neutral
Mürtschenstock Ruchen,Danach führen Wegspuren weiter schräg in der Westflanke aufwärts. | T6- | II,neutral
Vom Barrhorn bis Bishorn,"Es geht steil hoch und ein Helm ist hier obligatorisch, und sinnvoll! | T4+",neutral
"Ober Gabelhorn  - (kompletter Gabelhorngrat, Abstieg Wellenkuppe)",Beim Abklettern zum Tisch wird erstmals Konzentration gefordert. | ZS+,neutral
Gipfel Sammeln (4 Tage in der Leventina),Einige Steinmänner weisen auch den Weg. | T5 | II,neutral
Ammertespitz (2613m),"Ein kurzer, steiler Abstecher auf das Rägeboldshore (2193m) ist empfehlenswert, da der Blick hier noch schöner ist. | T4",neutral
Schinhorn 3796 m - Westnordwestgrat,"Raphael sammelte sie wieder ein und wenn alle aufgebraucht waren, hängte er sie ins Seil und ließ sie zu mir herunterrutschen. | S- | IV",neutral
Titlis,"Auf einer Skala bis 5 Sterne war das heute eindeutig mindestens 6...PS: ganz herzliche Einladung an die nette, kurzzeitige Seilbahn-Begleiterin, welche die Vier-Seen-Wanderung vorhatte, zur gemeinsamen Fünf-Seen-Wanderung in der Ostschweiz | T3+",neutral
Tschinglenrunde mit Abkürzung Il Vonn,"Wichtig ist sich nach circa zwei Drittel in der Abfahrt/Abstiegs nach links zu halten und an einer geeigneten Stelle einen Bach zu queren, um dahinter in etwas weniger steiles Gelände zu kommen. | T4",neutral
Von Pirigen auf das Mattjisch Horn,Mattjisch Horn (2461m) - Blackter Flüe (2318m).Sonnige und aussichtsreiche Wanderung auf einen Kuhberg mit luftiger Gratpassage zum Dessert. | T3,neutral
Europas „Nagelfluh-Summit“: Speer (Kletterweg),Wir haben uns mit Helm und Klettersteig-Set ausgerüstet. | T3 | K2,neutral
Ab der Läntahüttte zum Piz Cassimoi und Pizzo Cassinelli,"Der lange und zum Teil recht anspruchsvolle Aufstieg zumPiz Cassimoidürfte nicht nur uns überrascht haben, die heiklen ausgesetzten Stellen sind aber bestens gesichert. | T5+ | II",neutral
"auf dem Calanda, 2805m, äs früsches CALANDA....","Der Abstieg bis zur SAC Hütte erfolgte wie der Aufstieg, Speziell war, dass ein ""waghalsiger"" Biker an uns vorbei - über die sehr steile Calandasita - bis zur Hütte runterfuhr, ohne anzuhalten. | T3+",neutral
Ab Val Frisal direkter Aufstieg zur Bifertenhütte dann weiter zu den Muttenbergen,der sich steil RichtungFaschashochwindet. | T4 | II,neutral
Über den Jägersteig zum Marwees Ostgipfel (1991 m) und zum Alp Sigel Südgipfel (1769 m),"Der Untergrund war meistens trocken und gut begehbar, nur von der Bogartenlücke zur Alp Obere Mans hinunter war der Weg relativ nass und teilweise rutschig. | T4",neutral
Eien-Engelberg,Auf der asphaltierten Strasse sind wir auf direktem Weg zur Talstation derFürenalpbahngeradelt. | L,neutral
"Val d'Anniviers August 2024, 3|3: Le Tsapé - Illhorn","Nach kurzem Verweilen steigen wir auf der SW-Seite auf schmalem Steiglein ab, welches durch und später an Felsen vorbei zur nun lieblichen Hochfläche überleitet. | T3+",neutral
Fiescheralp - Konkordiahütte SAC - Fiescheralp (2 Tagestour),"Der Sommersteig selbst ist ein schmaler Steig, welcher die ca. 400m bis zur Konkordiahütte überwindet. | T4- | L",neutral
Ausser Rand und Band? Bifertenstock- und Bänderweg-Schnüffeln,"Einige Meter in Schrofen empor auf ein plattiges Band, auf diesem kurz nach rechts, ein paar Kraxelschritte hoch ins Gras (kurz T5-), leicht rechtshaltend wenige Meter hoch zu einer Metallstange, wo man horizontal nach rechts in die Rinne von Foppa su Faschas queren kann (ca. 2340 und nicht 2440m, wie bei Becks geschrieben!). | T5-",neutral
Piz Laviner / Piz Jenatsch,Das ist etwas steil und oben etwas mühsam wegen der groben Geröllmulde. | T5 | II,neutral
Piz Paradis vom Lai di Nalps,"Es gibt keine Idealroute, man hält am Besten auf die Mitte des Grates und sucht sich einen Weg durch die Steine. | T4",neutral
Schinhorn 3796 m - Westnordwestgrat,"Eine Passage am Anfang lässt sich gut links umlaufen, eine Passage, an welcher der Grat recht schmal und felsig wird, kann rechts gut umkraxelt werden. | S- | IV",neutral
"Ober Gabelhorn  - (kompletter Gabelhorngrat, Abstieg Wellenkuppe)",Der letzte Abschnitt über den Grat mit der Binerplatte ist windexponiert und so kehren wir um. | ZS+,neutral
Tschinglenrunde mit Abkürzung Il Vonn,"Auf halber Strecke behandelt sich die Wegspur allmählich in eine welche von Gras begleitet ist, bevor man amSpader Martinsmaadhütte vorbei schreitet. | T4",neutral
Calanda Überschreitung (Pfäfers - Tamins),"Diesen Direkt-Aufstieg habe ich erst einmal im Abstieg begangen, es ist mir damals sehr brüchig in Erinnerung geblieben. | T5 | III",neutral
Schinhorn 3796 m - Westnordwestgrat,"Eine Passage am Anfang lässt sich gut links umlaufen, eine Passage, an welcher der Grat recht schmal und felsig wird, kann rechts gut umkraxelt werden. | S- | IV",neutral
Surettahorn / Punta Nera (3027 m) - ab dem Splügenpass,"Einen Pickel hatte ich auch dabei, aber dieser wurde nicht benutzt. | T5- | WS",neutral
Gletschertrekking Monte Rosa Hütte,"Gessica, Irvin und Nicoletta nahm ich zur Sicherheit ans Seil, da ich bei der Querung auf ca. 2850m doch einige tiefere Querspalten erwartete, was denn auch zutraf. | T4 | L",neutral
Tschinglenrunde mit Abkürzung Il Vonn,Ich habe in der zweiten GPX versucht meinen dortigen Weg gedanklich zu rekonstruieren. | T4,neutral
"Fridlispitz, Riseten & Wageten Westgrat","Kurz vor dem Normalweg zum Gipfel steht ein Felsturm im Weg, wir haben diesen links (nordseitig) umgangen. | T4+ | IV",neutral
Berisal - Bortelhütten - Rosswald,Stafel nach Rosswald ist einwandfrei und einfach. | T3,neutral
"Rotgrätli, 3.012m, und Wissgrätli, 2.865m",Fazit: Einsame und einfache Tour in großartiger Umgebung mit vielen Seen. | T3+,neutral
Tuetisee & Ostergau,"Nachdem wir denTuetiseeauf mehreren Wegen auskundschaftet hatten, machten wir uns mit den Bikes auf den Weg zu denOstergauWeihern. | L",neutral
Augstenhüreli 3026 m,"mVom Dürrboden folgten wir dem Wanderweg Richtung Scalettapass, der gut ausgebaut ist bis kurz vor der PasshöheT1 1 Std. 20 minScalettapass  2606 m – Chüealpgletscher 2832 mÜber Block durchzogene Wiesen, südlich am Punkt 2760 m vorbei zu den beiden Gletscherseen. | T4",neutral
Ramsflue (N-Sporn),Bei demHardmännlilochführen Wegspuren nach rechts bis unter den Sporn. | T5+ | II,neutral
Schinhorn 3796 m - Westnordwestgrat,Am besten verlässt man den Hang kurz vor dem ganz steilen Teil nach rechts. | S- | IV,neutral
Nel cuore del Ticino...,"Diesmal liess sich das Problem mit einem zwar etwas brüchigen, aber auch nicht allzu schwierigen Umgehungscouloiir auf der NE-Seite lösen, wonach der Weiterweg zum Pizzo Crozlina, von dem ich mir in der Hütte noch ein Foto gemacht hatte, wieder frei war. | T6 | WS+ | III",neutral
Calanda Überschreitung (Pfäfers - Tamins),"Der weitere Weg zum Napoleon gelingt uns intuitiv, wir halten uns soweit möglich immer direkt an den Grat. | T5 | III",neutral
Piz Pischa 3171 m,"Von dort einfach zum Gipfel.3 Std. T3Für den Abstieg wählten wir den Weg durch die Mulde vom früheren Vadret Pischa, ansonsten stiegen wir den gleichen Weg zurück. | T3",neutral
"Breitwang, 2574 m",Le Tsapé und dann auf einem schmalen Pfad wieder bergauf. | T2,neutral
Vom Barrhorn bis Bishorn,"Etwa 10-15 Meter, danach erfolgt eine zweite, kleine Leiter, bevor das ""Klettern"" am Fels beginnt. | T4+",neutral
Tschinglenrunde mit Abkürzung Il Vonn,"Ich folgte zunächst den Weg zur Talstation der Seilbahn, bog jedoch dann auf den Wegen Murenganggefahr gesperrten Wanderweg ein welcher einen zumMärchtliführt. | T4",neutral
Piz Laviner / Piz Jenatsch,"Fuorcla da Bever 2948 mWir stiegen die steile Geröllhalde auf, links vom Punkt 2804 m, statt über die Schneefelder bzw. die früheren Gletscherabbrüche rechts davon. | T5 | II",neutral
Piz Starlera 2735m und Piz Grisch 3060m,Nach einer Rast ging es von dort nur noch steil und meistens weglos hinauf. | T5 | WS- | I,neutral
Abländschen - Amelier (2002 m): Schwieriger als erwartet,Der  Weg führt weiter in die Senke zwischen der Dent de Ruth und dem Amelier. | T3+,neutral
Überschreitung Ober Gabelhorn und Zinalrothorn,"Anfangs klettern wir eher nach Osten, bis die zweite Rippe erreicht ist. | T5 | S | V",neutral
Berisal - Bortelhütten - Rosswald,Es sind nirgendwo Ketten/Kabel montiert. | T3,neutral
Via Alpina: Grindelwald » Lauterbrunnen (Etappe 11),"Grindelwald und Lauterbrunnen, einfach der nackte Wahnsinn. | T2",neutral
Überschreitung Ober Gabelhorn und Zinalrothorn,Von der Wellenkuppe geht es über ein kurzes Stück Eis dann über Fels runter zum Triftgletscher. | T5 | S | V,neutral
"auf dem Calanda, 2805m, äs früsches CALANDA....",Heute - im Gegensatz zu 2010 - bezahlten wir nur CHF 10.00.Die Tourenbeschreibung ist einfach: | T3+,neutral
"Üschenengrat, Gällihore- Wyssi Flue und Schwarzgrätli.",Nach etwa 100 Meter Wegstrecke zweigt ein Weglein links ab das zum Gällihore rauf führt. | T3,neutral
Vom Barrhorn bis Bishorn,Wir sind demnach den Weg direkt nach Zinal ins Tal runter. | T4+,neutral
